CNPJ,Endereço Completo,Latitude,Longitude,Região
,"Rua Gomes de Carvalho, 1614, Vila Olímpia, São Paulo, São Paulo",-23.5950063,-46.6896149,
,"Rua CASPER LIBERO, 491, PAULICEIA, São Bernardo do Campo, São Paulo",-23.6673537,-46.5941037,
,"Avenida ARICANDUVA, 5555, Vila Matilde, São Paulo, São Paulo",-23.5659937,-46.504011,
,"Rua Paulo Soares, 509, Jardim Santo Antonio, Osasco, São Paulo",-23.5583958,-46.79401,
,"Rua SENADOR FLAQUER, 294, São José, São Caetano do Sul, São Paulo",-23.6340594,-46.5752863,
,"Rua Ibirapuera, 20, Parque Jurema, Guarulhos, São Paulo",-23.4465622,-46.4110879,
,"Rua DOMINGOS DE MORAIS, 286, Vila Mariana, São Paulo, São Paulo",-23.5796817,-46.6404127,
,"Rua PRESIDENTE CASTELO BRANCO, 174, Jardim Sorocabano, Jandira, São Paulo",-23.534615,-46.9056476,
,"Rua PAULO ANDRIGHETTI, 470, Pari, São Paulo, São Paulo",-23.5263346,-46.6061665,
,"Rua ADOLFO ANDRE, 100, Centro, Atibaia, São Paulo",-23.1129695,-46.5555231,
,"Avenida DA SAUDADE, 61, Centro, Atibaia, São Paulo",-23.1159122,-46.5488536,
,"Rua NELLO BACCI, 121, TANQUE, Atibaia, São Paulo",-23.0445236,-46.5692836,
,"Rua ANTONIO CUNHA LEITE, 2458, PORTAO, Atibaia, São Paulo",-23.2058183,-46.5886085,
,"Rua DO RETIRO, 2400, Vila das Hortencias, Jundiaí, São Paulo",-23.1797337,-46.9055741,
,"Avenida Miguel de Araujo, 182, Porto Cubatão, Cananéia, São Paulo",-24.97232,-47.94529,
,"Rua PEDRO ESCOBAR, 619, Grajau, São Paulo, São Paulo",-23.7475989,-46.6642636,
,"Rua FRANCISCO INACIO SOLANO, 206, CANTINHO DO CEU, São Paulo, São Paulo",-23.7424958,-46.6618167,
,"Avenida RAIMUNDO PEREIRA DE MAGALHAES, 12590, Pirituba, São Paulo, São Paulo",-23.4825331,-46.7231692,
,"Avenida DR. ERMELINDO MAFFEI, 734, SAO LUIZ, Itu, São Paulo",-23.2645744,-47.2828289,
,"Rua Americo Vespucio, 12, Parque Imperial, Barueri, São Paulo",-23.4804833,-46.8052982,
,"Avenida PAULISTA, 854, Bela Vista, São Paulo, São Paulo",-23.5658304,-46.6508381,
,"Avenida ENGENHEIRO ARMANDO DE ARRUDA PEREIRA, 4.684, Vila do Encontro, São Paulo, São Paulo",-23.6545806,-46.6368308,
,"Avenida AUTONOMISTAS, DOS, 1400, Vila Yara, Osasco, São Paulo",-23.5389781,-46.7653358,
,"Rua UM, 510, PARQUE DO HORTO, Hortolândia, São Paulo",-22.8535255,-47.1982364,
,"Avenida ANTONIO LOUZADA ANTUNES, 205, JARDIM PEDRO JOSE NUNES, São Paulo, São Paulo",-23.5021947,-46.4645312,
,"Avenida Gregorio Bezerra, 400, Jardim IV Centenário, São Paulo, São Paulo",-23.7066222,-46.6876047,
,"Rua CRISTOVAO DINIZ, 599, JARDIM DO ESTADIO, Itu, São Paulo",-23.2825872,-47.2874574,
,"Rua SETE LAGOS, 190, CHACARAS REUNIDAS, São José dos Campos, São Paulo",-23.2541491,-45.9313672,
,"Avenida PAULO AYRES, 470, Parque Pinheiros, Taboão da Serra, São Paulo",-23.621218,-46.784949,
,"Rua SANTA ETELVINA, 10, JARDIM SANTA TERESINHA, São Paulo, São Paulo",-23.5250364,-46.4286611,
,"Avenida Dos Latinos, 1264, Jd. Santa Terezinha, São Paulo, São Paulo",-23.36667,-49.16667,
,"Rua JOSE LUIZ LEME MACIEL, 68, Jordanesia, Cajamar, São Paulo",-23.335462,-46.8284617,
,"Rua CECILIA MEIRELES, 537, JARDIM JAPAO, São Paulo, São Paulo",-23.5118251,-46.5797465,
,"Avenida MAJOR ANTONIO DA SILVEIRA CAMARGO, 148, Centro, Cabreúva, São Paulo",-23.3054129,-47.133016,
,"Rua ALAGOINHA, 998, Jardim Mutinga, Barueri, São Paulo",-23.5055776,-46.8092969,
,"Avenida São Jorge, 923, Vila Mirim, Praia Grande, São Paulo",-24.00583,-46.40278,
,"Rua Viriato Correia, 70, Jardim do Lago, Jundiaí, São Paulo",-23.2215932,-46.8624959,
,"Avenida GUILHERME COTCHING, 1746, Vila Maria, São Paulo, São Paulo",-23.5147153,-46.5866614,
,"Avenida Otto Baumgart, 500, Vila Guilherme, São Paulo, São Paulo",-23.5174969,-46.6149398,
,"Avenida SAO PAULO, 247, Cidade Intercap, Taboão da Serra, São Paulo",-23.6110814,-46.7763807,
,"Avenida Braz Leme, 2040, Santana, São Paulo, São Paulo",-23.5048653,-46.6409346,
,"Rua José Getulio, 142, Liberdade, São Paulo, São Paulo",-23.5672233,-46.6360806,
,"Rua Duque de Caxias, 21, Campo Grande, Santos, São Paulo",-23.9599623,-46.3415268,
,"Rua ARBELA, 1004, CIDADE ANTONIO ESTEVAO DE CARV, São Paulo, São Paulo",-23.5258595,-46.4698864,
,"Avenida PADRE ANTÔNIO JOSÉ DOS SANTOS, 296, Cidade Monções, São Paulo, São Paulo",-20.85028,-50.09167,
,"Avenida SALGADO FILHO, 1536, Centro, Guarulhos, São Paulo",-23.4644593,-46.5303663,
,"Avenida SALGADO FILHO, 1536, Centro, Guarulhos, São Paulo",-23.4644593,-46.5303663,
,"Avenida SALGADO FILHO, 1536, Centro, Guarulhos, São Paulo",-23.4644593,-46.5303663,
,"Rua LUIS GOIS, 1877, MIRANDOPOLIS, São Paulo, São Paulo",-23.6040646,-46.6460655,
,"Rua LUIS GOIS, 1877, MIRANDOPOLIS, São Paulo, São Paulo",-23.6040646,-46.6460655,
,"Rua CONSTANCIO COLALILO, 630, Vila Augusta, Guarulhos, São Paulo",-23.4830163,-46.5375843,
,"Alameda TERRACOTA, 545, CERAMICA, São Caetano do Sul, São Paulo",-23.626174,-46.5788138,
,"Avenida PAVÃO, 61, RECANTO DO PARAISO, São Paulo, São Paulo",-23.6083178,-45.3511302,
,"Avenida Lins de Vasconcelos, 733, Cambuci, São Paulo, São Paulo",-23.577604,-46.623795,
,"Rua RIBEIRO DE LIMA, 610, Bom Retiro, São Paulo, São Paulo",-23.5312906,-46.6386411,
,"Rua DR. NUNO SILVA, 220, Centro, Eldorado, São Paulo",-24.52,-48.10806,
,"Avenida DR GASTAO VIDIGAL, 1946, VL LEOPOLDINA, São Paulo, São Paulo",-23.536284,-46.7376947,
,"Rua AFONSO CHAVES, 1083, Cidade Ocian, Praia Grande, São Paulo",-24.00583,-46.40278,
