Endereço Completo,Latitude,Longitude,Região
"Rua Cana Verde, 110, Jardim Silvestre, Itaquaquecetuba, São Paulo",-23.48611,-46.34833,Itaquaquecetuba
"Avenida Bento Figueredo, 275, Vila Marlene, Jundiaí, São Paulo",-23.18639,-46.88417,Jundiaí
"Rua Doutor Alberto Gallo, 226, Cidade Universitaria Ii, Campinas, São Paulo",-22.90556,-47.06083,Campinas
"Alameda Terracota, 545, Ceramica, São Caetano Do Sul, São Paulo",-23.626508,-46.5807647,São Caetano do Sul
"Avenida Parada Pinto, 2262, Vila Nova Cachoeirinha, São Paulo, São Paulo",-23.47337,-46.6669789,São Paulo
"Avenida Roland Garros, 1765, Jd.Brasil, São Paulo, São Paulo",-23.4756552,-46.5718114,São Paulo
"Rua Roseira, 35, Parque Recanto Monica, Mogi Das Cruzes, São Paulo",-23.52278,-46.18833,Mogi das Cruzes
"Rua Edmilson Rodrigues Marcelino, 976, Cidade Miguel Brada, Suzano, São Paulo",-23.5425,-46.31083,Suzano
"Avenida Jardim Japao, 1284, Jardim Brasil, São Paulo, São Paulo",-23.4793728,-46.5819262,São Paulo
"Rua Capitão Mor Passos, 228, Pari, São Paulo, São Paulo",-23.527587,-46.6153585,São Paulo
"Rua Libero Badaro, 480, Centro, São Paulo, São Paulo",-21.2639265,-48.5110736,Monte Alto
"Avenida Antonio Segre, 504, Ponte De Campinas, Jundiaí, São Paulo",-23.1766107,-46.8982122,Jundiaí
"Avenida Dos Costas, 1801, Jardim Residencial Das Palmeir, Rio Claro, São Paulo",-22.4357046,-47.5822843,Rio Claro
"Rua Itajuibe, 1168, Jd. Nelia, São Paulo, São Paulo",-23.4331119,-46.4277298,Guarulhos
"Rua Joao Mariano Ferreira, 164, Centro, Itanhaém, São Paulo",-24.18306,-46.78889,Itanhaém
"Rua Bandeirantes, 605, João B.Julião, Guarujá, São Paulo",-23.9830219,-46.2060406,Guarujá
"Avenida Clara Gianotti De Souza, 560, Centro, Registro, São Paulo",-24.4948657,-47.8450486,Registro
"Rua Herculano Ricardo, 685, Jd.Aparecida, Sete Barras, São Paulo",-24.3821915,-47.9244964,Sete Barras
"Rua Votorantim, 311, Barcelona, São Caetano Do Sul, São Paulo",-23.6191958,-46.5520096,São Caetano do Sul
"Estrada Governo, Do, S/N, Pouso Alegre, Franco Da Rocha, São Paulo",-23.3344663,-46.7254136,Franco da Rocha
"Rua Do Retiro, 2235, Vila Das Hortencias, Jundiaí, São Paulo",-23.1793859,-46.9074326,Jundiaí
"Rua Cidade De Sao Sebastiao, 201, Jardim Wallace Simonsen, São Bernardo Do Campo, São Paulo",-23.709775,-46.5395554,São Bernardo do Campo
"Rua Major Murzilho, 96, Centro, Bom Jesus Dos Perdões, São Paulo",-23.135,-46.46528,Bom Jesus dos Perdões
"Estrada Municipal Da Capela, S/N, Vista Alegre, Vinhedo, São Paulo",-23.02972,-46.97528,Vinhedo
"Avenida Onze De Junho, 744, Vila Clementino, São Paulo, São Paulo",-23.5475,-46.63611,São Paulo
"Rua Angelo Airoldi, 167, Jardim Centenario, Jandira, São Paulo",-23.5275,-46.9025,Jandira
"Estrada Municipal Do Caputera, 333, Ressaca, Cotia, São Paulo",-23.60389,-46.91917,Cotia
"Rua Pernambuco, 18, Vila Sanches, Juquiá, São Paulo",-24.3152139,-47.6323946,Juquiá
"Rua Chile, 250, Jd.Cardoso De Freitas, Cajati, São Paulo",-24.7204053,-48.0979843,Cajati
"Rua Caiubi, 433, Jardim Pilar, Santo André, São Paulo",-23.6844381,-46.5392872,Santo André
"Rodovia Ayrton Senna Da Silva, Sn, Jardim Maria Eliza, Itaquaquecetuba, São Paulo",-23.48611,-46.34833,Itaquaquecetuba
"Avenida Eliseo Cordeiro De Siqueira, 961/963, Jardim Santo Elias, São Paulo, São Paulo",-7.76667,-72.6,Cruzeiro do Sul
"Rua Antonio Furquim, 220, Jacare, Cabreúva, São Paulo",-23.2460826,-47.0575519,Cabreúva
"Rua Manoel Jose De Carvalho, 155, Jardim Santa Gertrudes, Jundiaí, São Paulo",-23.2528178,-46.8532603,Jundiaí
"Rua Nestor Pestana, 40, Consolação, São Paulo, São Paulo",-23.55242,-46.65735,São Paulo
"Avenida Armando Ferrentini, 406, Aclimação, São Paulo, São Paulo",-23.5746722,-46.6351096,São Paulo
"Rua João Teodoro, 842, Brás, São Paulo, São Paulo",-23.5345723,-46.6244535,São Paulo
"Rua Do Retiro, 2173, Vila Viotto, Jundiaí, São Paulo",-23.1827765,-46.9008306,Jundiaí
"Rua Presidente Arthur Da Costa E Silva, 453, Parque São Vicente, Mauá, São Paulo",-22.7321,-43.36924,Belford Roxo
"Rodovia Mario Tonoli, 177, Est.Hidro Mineral Santa Eliza, Itupeva, São Paulo",-23.15306,-47.05778,Itupeva
"Rua Teodoro Sampaio, 473, Pinheiros, São Paulo, São Paulo",-23.5562987,-46.6752444,São Paulo
"Rua Dr. Ulpiano Da Costa Manso, 151, Butantã, São Paulo, São Paulo",-23.57374,-46.71936,São Paulo
"Rua Guaricanga, 321, Lapa, São Paulo, São Paulo",-23.5227167,-46.7104308,São Paulo
"Rua Dos Fundadores, 463, Praia Do Sonho, Itanhaém, São Paulo",-24.18306,-46.78889,Itanhaém
"Avenida Marcolino Xavier De Carvalho, 313, Cidade Nautica, São Vicente, São Paulo",-23.9430138,-46.417987,São Vicente
"Rua Prof. Otavio Rocha, 151, Jardim Triunfo, Pedreira, São Paulo",-22.74194,-46.90139,Pedreira
"Rua Gastao De Souxa Oliveira, 422, Quietude, Praia Grande, São Paulo",-24.00583,-46.40278,Praia Grande
"Rua Rio Branco, 960, Centro, Registro, São Paulo",-24.498679,-47.8526184,Registro
"Rua Quarto, 119, Jardim Dos Prados, Peruíbe, São Paulo",-24.32,-46.99833,Peruíbe
"Avenida Independencia, 1136, Rocio, Cananéia, São Paulo",-25.0069457,-47.9313292,Cananéia
"Estrada Luiz Marson, 381, Batistini, São Bernardo Do Campo, São Paulo",-23.7485643,-46.5826605,São Bernardo do Campo
"Avenida Satelite, 559 A, Cidade Satelite (São Mateus), São Paulo, São Paulo",-23.60583,-46.47889,São Paulo
"Avenida Prefeito Prestes Maia, 20, Esplanada Dos Barreiros, São Vicente, São Paulo",-23.96306,-46.39194,São Vicente
"Avenida Rosa Belmiro Ramos, 92, Ortizes, Valinhos, São Paulo",-22.9780597,-46.9888118,Valinhos
"Rua Ibirapuera, 20, Parque Jurema, Guarulhos, São Paulo",-23.4465622,-46.4110879,Guarulhos
"Rua Salustino Gregoriano Leite, 142, Vila Florindo, Juquiá, São Paulo",-24.32083,-47.63472,Juquiá
"Rua Amaro J Andrade, 428, Jd.Maria Paulina, Boituva, São Paulo",-23.28333,-47.67222,Boituva
"Rua Alagoinha, 998, Jardim Mutinga, Barueri, São Paulo",-23.5055776,-46.8092969,Osasco
"Rua Manaus, 395, Rochdale, Osasco, São Paulo",-23.5049491,-46.7769148,Osasco
"Avenida Cachoeira, 125, Vl. Pindorama, Barueri, São Paulo",-23.4928532,-46.880312,Barueri
"Rua Presidente Castelo Branco, 174, Jardim Sorocabano, Jandira, São Paulo",-23.5359134,-46.9038554,Jandira
"Avenida Eng.Soares De Camargo, 349, Jardim Hercilia, São Paulo, São Paulo",-23.5399002,-46.5029158,São Paulo
"Rua Osvaldo Cocrane, 60, Embaré, Santos, São Paulo",-23.96083,-46.33361,Santos
"Rua Marechal Deodoro Da Fonseca, 240, Centro, Cabreúva, São Paulo",-23.3069129,-47.1334429,Cabreúva
"Rua Sao Lucas Evangelista, 236, Jardim Cibele, Carapicuíba, São Paulo",-23.52272,-46.835,Carapicuíba
"Rua Hebert De Souza - Betinho, 112, Portal D'Oeste, Osasco, São Paulo",-23.5325,-46.79167,Osasco
"Rua Dronsfield, 47, Lapa, São Paulo, São Paulo",-23.5187703,-46.7053525,São Paulo
"Rua Professor Jose Azevedo Minhoto, 378, Vila Quitauna (Km18), Osasco, São Paulo",-23.5298717,-46.7942864,Osasco
"Rua Barcelona, 414, Jaguaré, São Paulo, São Paulo",-23.5440225,-46.7487484,São Paulo
